price,car name,variant,mileage,first registration,horse power
"€ 2,999.-",Volkswagen Passat,"Variant 2,0TSI Sportline+Climatr*Szhz*AHK",200000,03/2008,200
"€ 2,999.-",MINI Cooper,1.6 Seven *Klima*,170000,09/2006,116
"€ 2,999.-",Suzuki Swift,CD/RADIO CABRIO,75000,03/1993,68
"€ 3,000.-",Renault Clio,Grandtour Luxe 1.6 16V 110 Automatik Navi,237000,06/2010,111
"€ 3,180.-",Mazda 2,"Lim. Independence, Klimaanlage, Alu, AHK",110252,01/2010,86
"€ 3,200.-",Peugeot 207,1.6 HDi Urban 99g FAP,143070,10/2010,90
"€ 3,200.-",BMW 116,i*SHZ*PDC*KLIMA,134500,02/2010,122
"€ 3,200.-",Mercedes-Benz SLK 200,Kompressor Special guter Zustand Tüv Neu,299000,11/2001,163
"€ 3,200.-",Volkswagen Golf,V Automatik DSG/Klima,205919,07/2004,105
"€ 3,250.-",Mercedes-Benz E 220,T CDI Avantgarde AUT. GLASDACH TÜV 06-23,304000,04/2004,150
"€ 3,290.-",Mazda 5,Klima / AHK / 12-fach bereift,106950,10/2007,116
"€ 3,377.-",Skoda Fabia,1.4 16V Combi KLIMA~ISOFIX~AUX~RELING~CD,142700,03/2009,86
"€ 3,400.-",Volkswagen Fox,Style CD*MP3*NICHTRAUCHER*ABS*ESP*LM-FELGEN*,155778,08/2011,60
"€ 3,449.-",Ford S-Max,2.0 TDCI Navi+Leder+PDC+SHZ/2.Hd.,273500,08/2007,140
"€ 3,450.-",Hyundai i30,CW 1.6 CRDi 66 kW Style,183450,04/2011,90
"€ 3,470.-",Opel Zafira,B Innovation 1.8 Klimaautom Automatik HÄNDLERFAHRZ,91865,03/2011,140
"€ 3,480.-",MINI Cooper,"Pepper Klimaautomatik,Panorama,Lichtpaket",189500,11/2008,120
"€ 3,489.-",Kia Picanto,Klima,121000,04/2009,65
"€ 3,490.-",Volkswagen Touran,Highline 2.0 TDI *Klima*PDC*Alu,245000,03/2005,140
"€ 3,490.-",BMW X3,2.0d Leder Xenon Navi Kurvenlicht Allrad Holzausst,294500,11/2006,150
"€ 3,490.-",Peugeot 207,"1.4 HDi CLIM, ISOFIX, VE, RADIO CD",99046,05/2010,68
"€ 3,490.-",Renault Kangoo Z.E.,MOTORSCHADEN inkl Batterie,30514,04/2012,60
"€ 3,490.-",Ford Puma,"1.7 - 16V VCT ""nur 31500 Km"" Schaden /Kotflügel",31500,07/1998,125
"€ 3,490.-",Mitsubishi Colt,CZ3 Lim.3 1.1 Inform nur 75 TKM KLIMA TÜV,75700,03/2006,75
"€ 3,499.-",Kia Picanto,1.1 Attract Servo Allwetterreifen 63000 Km,63000,08/2010,65
"€ 3,499.-",Mercedes-Benz B 180,"CDI *KLIMA,PDC,ISOFIX,SHZ*",290262,03/2010,109
"€ 3,500.-",Opel Astra,"H Caravan 1,6-16V Turbo 132 KW Xenon Navi",234749,06/2010,179
"€ 3,500.-",Honda Jazz,1.4i Benzine Autom. - Airco - 5 Deurs - Topstaat!,130618,04/2006,83
"€ 3,500.-",Suzuki Liana,1.6 Comfort Sitzheizung Klima,95000,09/2005,106
