name,Make,variant,price,mileage,Type,Model,Body,Fuel,Other Fuel Types,CO2 Emission,Emission Label,Emission Class,horse power,Displacement,Cylinders,Warranty,Previous Owners,first registration,First Registration,Consumption,consumption_country,consumption_city,Electricity consumption,Gearing Type,Gears,Nr. of Seats,Nr. of Doors,Paint Type,Body Color Original,Body Color,Upholstery,Inspection new,Next Inspection,Last Service Date,Full Service,Last Timing Belt Service Date,Perm. GVW,Drive chain,Model Code,Weight,Non-smoking Vehicle,Country version,Offer Number,url_address
BMW 116,BMW,AHK/ALU/Klima/Beschreibung Lesen!!!,"€ 4,490.-",174900,Used,116,Sedans,Super 95 / Super Plus 98 / Super E10 95 / Regular/Benzine 91,Super Plus 98,99 g/km (comb),4 (Green),Euro 4,122,"1,598 cc",4,12 months,3,02/2009,2009,3.8 l/100 km (comb),3.4 l/100 km (country),4.4 l/100 km (city),,Manual,6,5,5,Metallic,MONACOBLAU METALLIC,Blue,"Cloth, Black",,01/2021,,,,,Rear,0005/AJZ,,,,2019194 GW__1,https://www.autoscout24.com/offers/bmw-116-ahk-alu-klima-beschreibung-lesen-gasoline-blue-2227fa62-1eae-4745-90df-1122554e38d4?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Dacia Sandero,Dacia,16V Ambiance,"€ 4,490.-",149685,Used,Sandero,Sedans,Gasoline,,130 g/km (comb),,Euro 6,75,"1,149 cc",4,12 months,,04/2016,2016,5.8 l/100 km (comb),,,,Manual,5,5,5,,,White,"Other, Grey",,,,,,,,,"1,050 kg",,,,https://www.autoscout24.com/offers/dacia-sandero-16v-ambiance-gasoline-white-27f4bd30-0b6e-47a9-b918-907ead97855a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Others,,"""eLizzy Premium"" 25 km/h","€ 4,490.-",150,Employee's car,,Other,Electricity,,0 g/km (comb),,,-,,,,1,12/2020,2020,,,,,Automatic,,2,2,Metallic,,Red,"Other, Black",,,,,,,Rear,,,,Germany,462,https://www.autoscout24.com/offers/others-others-elizzy-premium-25-km-h-electric-red-d473c4e8-3bb8-4b59-83a7-63cf921317c3?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault ZOE,Renault,INTENS Batteriemiete +HANDEL/EXPORT+,"€ 4,500.-",85591,Used,ZOE,Sedans,Electricity (Particulate Filter),,0 g/km (comb),4 (Green),Euro 6d-TEMP,58,,,,2,03/2013,2013,,,,,Automatic,,5,5,Metallic,Blau Energy,Blue,"Cloth, Grey",,12/2022,,,,,,3333/AZX,,,,E_508191,https://www.autoscout24.com/offers/renault-zoe-intens-batteriemiete-handel-export-electric-blue-1ab8216b-8196-45d4-92cf-394ed0d4ace6?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Honda Civic,Honda,1.5 elektrisches Schiebedach Radio Servo 66 kW ...,"€ 4,500.-",56778,Used,Civic,Sedans,,,,1 (No sticker),,90,"1,493 cc",4,,1,06/1990,1990,,,,,Manual,5,,3,,Schwarz,Black,"Cloth, Grey",,09/2021,,,,,Front,,895 kg,,European Union,310159,https://www.autoscout24.com/offers/honda-civic-1-5-elektrisches-schiebedach-radio-servo-66-kw-black-8ac736b7-af98-41d1-817d-a50d3ed9ed15?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Caddy,Volkswagen,"Kasten 1,9 TDI 1. Hand, TüV neu","€ 4,500.-",234000,Used,Caddy,Van,Diesel,,140 g/km (comb),4 (Green),Euro 4,75,"1,896 cc",,,1,02/2009,2009,5.3 l/100 km (comb),5.6 l/100 km (country),7.6 l/100 km (city),,Manual,,2,4,Metallic,Lambadagrün,Green,Black,Yes,,,,,,,,,,Germany,GW1001/Caddy Kasten 3440,https://www.autoscout24.com/offers/volkswagen-caddy-kasten-1-9-tdi-1-hand-tuev-neu-diesel-green-55d7bf11-f566-4413-ba06-64e2861f87ce?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Megane,Renault,"III 1,2 Limited ***Motorschaden***","€ 4,599.-",85000,Used,Megane,Sedans,Super 95,,125 g/km (comb),4 (Green),Euro 5,-,"1,197 cc",4,,2,04/2015,2015,5.3 l/100 km (comb),4.6 l/100 km (country),6.4 l/100 km (city),,Manual,6,5,5,Metallic,,Grey,Cloth,,04/2022,,,,,Front,3333/AZQ,"1,280 kg",,,AHJUK21.06-696,https://www.autoscout24.com/offers/renault-megane-iii-1-2-limited-motorschaden-gasoline-grey-56670e7b-be5b-4acd-8af6-067526d0556a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Skoda Octavia,Skoda,Combi EDITION COOL KLIMA ZV el. AUßENSPIEGEL + ...,"€ 4,600.-",220000,Used,Octavia,Station wagon,Super 95,,,4 (Green),Euro 5,122,"1,390 cc",,,1,02/2011,2011,,,,,Manual,,5,,Metallic,Grau,Grey,"Cloth, Black",,02/2023,,,,,Front,,,,European Union,81841,https://www.autoscout24.com/offers/skoda-octavia-combi-edition-cool-klima-zv-el-aussenspiegel-gasoline-grey-68d3a437-00e0-464d-a18e-3d09fca7c2cb?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Audi A3,Audi,Sportback 1.6 Attraction,"€ 4,600.-",123000,Used,A3,Sedans,Regular/Benzine 91,,175 g/km (comb),4 (Green),Euro 4,102,"1,595 cc",,,3,04/2005,2005,7.3 l/100 km (comb),5.9 l/100 km (country),9.8 l/100 km (city),,Manual,,5,4,Metallic,Lichtsilber Metallic,Silver,"Cloth, Black",Yes,,,,,,,,,,,Kunden Auftr. A142634,https://www.autoscout24.com/offers/audi-a3-sportback-1-6-attraction-gasoline-silver-a001396e-9bc0-475a-a16e-9b2003cdf4ee?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Grand Modus,Renault,Dynamique,"€ 4,690.-",76762,Used,Grand Modus,Sedans,Regular/Benzine 91,,145 g/km (comb),4 (Green),Euro 4,75,"1,149 cc",,,1,04/2008,2008,6.1 l/100 km (comb),5.1 l/100 km (country),7.7 l/100 km (city),,Manual,,5,4,Metallic,STONE,Grey,"Cloth, Black",Yes,,,,,,,,,,Germany,13852,https://www.autoscout24.com/offers/renault-grand-modus-dynamique-gasoline-grey-f770b2b7-18df-42ed-83fa-37ada48f3414?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Toyota Avensis,Toyota,"Combi 2.0 D-4D Navi, PDC, AHK","€ 4,699.-",214000,Used,Avensis,Station wagon,Diesel,,142 g/km (comb),4 (Green),Euro 5,126,"1,998 cc",,,1,01/2010,2010,5.4 l/100 km (comb),4.7 l/100 km (country),6.7 l/100 km (city),,Manual,,5,4,Metallic,,Grey,"Cloth, Black",,,,,,,,5013/AFN,,,,,https://www.autoscout24.com/offers/toyota-avensis-combi-2-0-d-4d-navi-pdc-ahk-diesel-grey-6c44cc9a-c987-4b4a-bb60-c69c99ab6d5f?cldtidx=1&cldtsrc=listPage&searchId=1964176808
SEAT Mii,SEAT,Reference 1.0 RDC ESP Seitenairb. met. TRC Airb AB,"€ 4,780.-",66000,Used,Mii,Sedans,Super 95,,107 g/km (comb),,Euro 6,60,999 cc,3,,1,02/2016,2016,4.5 l/100 km (comb),3.9 l/100 km (country),5.6 l/100 km (city),,Manual,5,4,3,Metallic,blue blueberry,Blue,Cloth,,,,,,,Front,7593/AGN,,,Germany,191,https://www.autoscout24.com/offers/seat-mii-reference-1-0-rdc-esp-seitenairb-met-trc-airb-ab-gasoline-blue-8408ef99-3be2-4128-aff8-60e9b3c13c11?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 208,Peugeot,Active 1.4 16V VTi 95 Bluetooth Klima ALU*16,"€ 4,780.-",144544,Used,208,Compact,Gasoline,,133 g/km (comb),,Euro 5,95,"1,397 cc",4,,1,05/2012,2012,5.6 l/100 km (comb),4.5 l/100 km (country),7.5 l/100 km (city),,Manual,5,5,3,Metallic,rot-schwarz,Red,Cloth,,,,,,,Front,3003/ARF,,,Germany,048093-28,https://www.autoscout24.com/offers/peugeot-208-active-1-4-16v-vti-95-bluetooth-klima-alu-16-gasoline-red-75f5d011-caee-4241-9c7f-9e666f956e77?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 316,BMW,"ti Compact E46 Leder,Bi-Xenon,el.GSD,2.Hand","€ 4,780.-",130800,Used,316,Coupe,Gasoline,,167 g/km (comb),4 (Green),Euro 4,116,"1,796 cc",,,2,06/2002,2002,6.9 l/100 km (comb),5.3 l/100 km (country),9.7 l/100 km (city),,Manual,,5,2,Metallic,Topasblau Metallic,Blue,"Part leather, Other",Yes,,,,,,,0005/716,,,Germany,,https://www.autoscout24.com/offers/bmw-316-ti-compact-e46-leder-bi-xenon-el-gsd-2-hand-gasoline-blue-efada836-44a4-41bd-8846-08d74a4c9360?cldtidx=1&cldtsrc=listPage&searchId=1964176808
SEAT Ibiza,SEAT,Klima ZV Tempomat el. FH + Außenspiegel 77 kW (...,"€ 4,790.-",161300,Used,Ibiza,Sedans,Super 95,,119 g/km (comb),4 (Green),Euro 5,105,"1,197 cc",4,,3,12/2013,2013,5.1 l/100 km (comb),4.4 l/100 km (country),6.5 l/100 km (city),,Manual,,,5,Metallic,Schwarz,Black,"Cloth, Grey",,12/2022,,,,,Front,,,,European Union,81904,https://www.autoscout24.com/offers/seat-ibiza-klima-zv-tempomat-el-fh-aussenspiegel-77-kw-gasoline-black-4c5a4e75-4240-41cf-a44b-b6fe07f46b51?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Toyota Aygo,Toyota,Cool 1.0 Klima+Radio+eltr Fensterheber,"€ 4,790.-",61791,Used,Aygo,Compact,Super 95,,102 g/km (comb),,Euro 5,68,998 cc,3,12 months,2,06/2012,2012,4.4 l/100 km (comb),3.9 l/100 km (country),5.3 l/100 km (city),,Manual,5,4,3,,vulcanorot,Red,Cloth,,,,,,,Front,5013//AA,930 kg,,Germany,N644208,https://www.autoscout24.com/offers/toyota-aygo-cool-1-0-klima-radio-eltr-fensterheber-gasoline-red-c22dfe19-fbae-4936-97fb-41134df79969?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Astra,Opel,"H ""Cosmo"" Twin Top","€ 4,790.-",146950,Used,Astra,Convertible,Super 95 / Super E10 95,Super E10 95,190 g/km (comb),4 (Green),Euro 4,179,"1,598 cc",4,,,06/2007,2007,7.9 l/100 km (comb),6.4 l/100 km (country),10.5 l/100 km (city),,Manual,6,4,2,Metallic,Pannacotta M2,Beige,"Full leather, Brown",Yes,,,,,,Front,0035/AHC,"1,500 kg",,,Elzach/86020,https://www.autoscout24.com/offers/opel-astra-h-cosmo-twin-top-gasoline-beige-e79f8dc7-017f-45ee-beb8-e15859dbfe23?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Megane,Renault,III Grandtour TomTom Edition TÜV NEU,"€ 4,790.-",139954,Used,Megane,Station wagon,Regular/Benzine 91,,161 g/km (comb),4 (Green),Euro 5,101,"1,598 cc",,,2,04/2012,2012,6.8 l/100 km (comb),5.5 l/100 km (country),9.1 l/100 km (city),,Manual,,5,4,,BLAU ROY,Blue,,Yes,,,,,,,,,,,,https://www.autoscout24.com/offers/renault-megane-iii-grandtour-tomtom-edition-tuev-neu-gasoline-blue-0d4947c6-fb72-4811-be7c-cbe6a5258a50?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Citroen C6,Citroen,HDi 205 Biturbo *BiXenon*PDC*Memory*,"€ 4,849.-",205677,Used,C6,Sedans,Diesel (Particulate Filter),,230 g/km (comb),4 (Green),Euro 4,204,"2,720 cc",6,12 months,,01/2007,2007,8.7 l/100 km (comb),6.8 l/100 km (country),12 l/100 km (city),,Automatic,6,5,4,Metallic,,Grey,"Full leather, Black",,,,,,,Front,3001/aba,"1,946 kg",,,005062,https://www.autoscout24.com/offers/citroen-c6-hdi-205-biturbo-bixenon-pdc-memory-diesel-grey-8aa4cd9c-4f63-42e6-a104-ea3b06c869f9?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mazda 2,Mazda,Lim. 1.5 Impression 5-trg. -Wenig Kilometer!-,"€ 4,850.-",53000,Used,2,Sedans,Super 95,,140 g/km (comb),4 (Green),Euro 6,103,"1,498 cc",4,,2,10/2007,2007,5.9 l/100 km (comb),4.9 l/100 km (country),7.6 l/100 km (city),,Manual,5,5,5,Metallic,Kronosgrau,Grey,"Cloth, Grey",Yes,07/2023,,,,,Front,7118/ABQ,"1,035 kg",,Germany,04286,https://www.autoscout24.com/offers/mazda-2-lim-1-5-impression-5-trg-wenig-kilometer-gasoline-grey-29f1b3b9-8b56-422e-b2f2-a5794ed37a3f?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 206,Peugeot,Cabriolet CC Platinum,"€ 4,850.-",119158,Used,206,Convertible,Regular/Benzine 91,,166 g/km (comb),4 (Green),,109,"1,587 cc",,,3,02/2002,2002,7 l/100 km (comb),5.8 l/100 km (country),9.5 l/100 km (city),,,,4,2,Metallic,ISLANDGRAU,Grey,"Full leather, Other",,03/2023,,,,,,,,,Germany,14206,https://www.autoscout24.com/offers/peugeot-206-cabriolet-cc-platinum-gasoline-grey-b6ed4ac3-ebaa-435d-90b8-c697c9bf79c1?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Hyundai i10,Hyundai,Classic 1.1 RADIO CD MP3 USB KLIMA USB,"€ 4,875.-",59720,Used,i10,Sedans,Super 95,,108 g/km (comb),4 (Green),Euro 4,67,998 cc,4,,1,02/2011,2011,4.7 l/100 km (comb),4 l/100 km (country),6 l/100 km (city),,Manual,5,5,5,Metallic,carbon gray,Grey,"Cloth, Black",Yes,,,,,,Front,8357/AAP,"1,008 kg",,,764515,https://www.autoscout24.com/offers/hyundai-i10-classic-1-1-radio-cd-mp3-usb-klima-usb-gasoline-grey-a5a90154-d6ee-4b6d-8f50-4305b7561cad?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford C-Max,Ford,Trend (CB7),"€ 4,880.-",170331,Used,C-Max,Van,Diesel (Particulate Filter),,117 g/km (comb),4 (Green),Euro 5,116,"1,560 cc",4,12 months,2,11/2011,2011,4.4 l/100 km (comb),4 l/100 km (country),5 l/100 km (city),,Manual,6,5,5,,Mars-Rot Metallic,Red,,Yes,,03/2021,,,,Front,8566/AUH,"1,390 kg",,Germany,,https://www.autoscout24.com/offers/ford-c-max-trend-cb7-diesel-red-2aeb33cc-4d30-4e73-96b6-f7b7ef0a533b?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 320,BMW,"d Limousine Klimaaut,Multi-Lenkrad,PDC,1.Hand","€ 4,880.-",262800,Used,320,Sedans,Diesel,,128 g/km (comb),4 (Green),Euro 4,177,"1,995 cc",,,1,09/2007,2007,4.8 l/100 km (comb),4.1 l/100 km (country),6 l/100 km (city),,Manual,,5,4,,Schwarz II uni,Black,"Cloth, Black",,09/2022,,,,,,0005/ALJ,,,Germany,,https://www.autoscout24.com/offers/bmw-320-d-limousine-klimaaut-multi-lenkrad-pdc-1-hand-diesel-black-1747e2a0-438c-4428-b6ef-ebdab2ec48aa?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Golf,Volkswagen,1.4 UNITED * Klima * Sitzhzg. * PDC *,"€ 4,890.-",107746,Used,Golf,Sedans,Super 95,,164 g/km (comb),4 (Green),Euro 4,80,"1,390 cc",4,12 months,2,02/2008,2008,6.9 l/100 km (comb),5.5 l/100 km (country),9.4 l/100 km (city),,Manual,5,5,5,Metallic,,Blue,Cloth,,04/2023,01/2021,,,,Front,0603/AKF,"1,155 kg",,Germany,HR150,https://www.autoscout24.com/offers/volkswagen-golf-1-4-united-klima-sitzhzg-pdc-gasoline-blue-05a4b290-dc95-4d6e-9b4e-0c84278e05e8?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mitsubishi Lancer,Mitsubishi,"1.8 CVT Klima, Alu, Garagenwagen","€ 4,899.-",125000,Used,Lancer,Sedans,Super E10 95,,188 g/km (comb),4 (Green),Euro 4,143,"1,798 cc",,,,04/2008,2008,7.9 l/100 km (comb),6.2 l/100 km (country),10.9 l/100 km (city),,Manual,,5,4,Metallic,,Silver,"Cloth, Black",,03/2023,,,,,,7107/ABQ,,,,,https://www.autoscout24.com/offers/mitsubishi-lancer-1-8-cvt-klima-alu-garagenwagen-gasoline-silver-d1756eef-882e-4caf-8cae-0a4d4c8c3260?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 116,BMW,i KLIMAAUTO CD/RADIO/AUX START/STOPP,"€ 4,899.-",125000,Used,116,Sedans,Regular/Benzine 91,,143 g/km (comb),4 (Green),Euro 4,122,"1,599 cc",,,2,10/2007,2007,6.1 l/100 km (comb),5.1 l/100 km (country),7.9 l/100 km (city),,Manual,,5,2,,SCHWARZ 2,Black,"Cloth, Black",,06/2022,,,,,,,,,,2760,https://www.autoscout24.com/offers/bmw-116-i-klimaauto-cd-radio-aux-start-stopp-gasoline-black-5dce4ab7-d06e-453b-8f07-f01467b93bca?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Kia Rio,Kia,1.4i Aventura,"€ 4,900.-",67000,Used,Rio,Compact,Regular/Benzine 91,,139 g/km (comb),,,97,"1,399 cc",4,,,10/2009,2009,5.9 l/100 km (comb),5.2 l/100 km (country),7.9 l/100 km (city),,Manual,5,5,5,,,Blue,,,,,,,,Front,,"1,079 kg",,,570386,https://www.autoscout24.com/offers/kia-rio-1-4i-aventura-gasoline-blue-9cb6be7b-0d87-45b7-a7c3-a70393fb5e0f?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz E 320,Mercedes-Benz,CDi T-Modell Avantgarde AUTOMATIK*AIRMATIC,"€ 4,900.-",250000,Used,E 320,Station wagon,Diesel,,215 g/km (comb),4 (Green),Euro 4,224,"2,987 cc",,,,11/2008,2008,8.1 l/100 km (comb),6.4 l/100 km (country),11 l/100 km (city),,Automatic,,5,4,Metallic,obsidianschwarz metallic,Black,Black,,02/2023,,,,,,,,,Germany,,https://www.autoscout24.com/offers/mercedes-benz-e-320-cdi-t-modell-avantgarde-automatik-airmatic-diesel-black-d64035a4-5806-434e-9d03-eaa732675b22?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 108,Peugeot,e-VTi Active STT,"€ 4,900.-",100754,Used,108,Sedans,Gasoline,,88 g/km (comb),,Euro 6,69,998 cc,3,12 months,,06/2016,2016,3.8 l/100 km (comb),,,,Manual,5,4,5,,,Silver,"Other, Black",,,,,,,,,958 kg,,,,https://www.autoscout24.com/offers/peugeot-108-e-vti-active-stt-gasoline-silver-ae055ff1-6b9a-4a61-ba62-9366b06b28cb?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Corsa,Opel,1.2i 16V Klima Alu NSW,"€ 4,900.-",96668,Used,Corsa,Compact,Super 95,,119 g/km (comb),4 (Green),Euro 5,86,"1,229 cc",,,,03/2013,2013,5.1 l/100 km (comb),4.2 l/100 km (country),6.5 l/100 km (city),,Manual,,5,4,Metallic,silbermet.,Silver,"Cloth, Black",Yes,07/2023,,,,,,,,,Germany,0015D,https://www.autoscout24.com/offers/opel-corsa-1-2i-16v-klima-alu-nsw-gasoline-silver-5c530fd5-3b03-4227-9e36-3464af292eeb?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Hyundai iX20,Hyundai,1.6 CRDi | Klima | Alu | Radio/CD | 1. Hand,"€ 4,900.-",154000,Used,iX20,Compact,Diesel,,,4 (Green),Euro 5,128,"1,582 cc",,,1,03/2014,2014,,,,,Manual,,5,4,Metallic,Grau,Grey,"Cloth, Black",,,,,,,,1349/ACD,,,European Union,G3197,https://www.autoscout24.com/offers/hyundai-ix20-1-6-crdi-klima-alu-radio-cd-1-hand-diesel-grey-8c187ca7-dc11-4780-82ed-4ad3a912ac91?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford S-Max,Ford,1.8D*Ruime gezinswagen*Rebuy,"€ 4,900.-",133792,Used,S-Max,Van,Diesel,,164 g/km (comb),,,125,"1,753 cc",4,,,03/2010,2010,6.2 l/100 km (comb),5.2 l/100 km (country),7.9 l/100 km (city),,Manual,6,,5,Metallic,,Black,"Other, Black",,,,,,,,,"1,744 kg",,,,https://www.autoscout24.com/offers/ford-s-max-1-8d-ruime-gezinswagen-rebuy-diesel-black-1ae69728-eefe-473d-95e6-3db05380c2bc?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Kia Picanto,Kia,1.0i Fusion ISG,"€ 4,900.-",123800,Used,Picanto,Compact,Regular/Benzine 91,,106 g/km (comb),,,67,998 cc,4,,,10/2015,2015,4.6 l/100 km (comb),3.8 l/100 km (country),5.9 l/100 km (city),,Manual,5,5,5,,,Black,,,,,,,,Front,,"1,001 kg",,,MDX-V3CGSWJE,https://www.autoscout24.com/offers/kia-picanto-1-0i-fusion-isg-gasoline-black-a651e397-0149-42e8-ab16-17384ae6b0b3?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault ZOE,Renault,"Intens Miet-Batterie ab 59,- Bluetooth Navi","€ 4,900.-",118500,Used,ZOE,Sedans,Electricity,,0 g/km (comb),,Euro 5,58,,,,1,12/2013,2013,,,,13.3 kWh/100 km (comb),Automatic,,5,5,Metallic,Sternen-schwarz,Black,"Cloth, Other",,,,,,,Front,,"1,943 kg",,,33304068,https://www.autoscout24.com/offers/renault-zoe-intens-miet-batterie-ab-59-bluetooth-navi-electric-black-c4d6a893-6a95-41e9-a36c-c218519db810?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Jaguar XJ6,Jaguar,XJ 2.7 Liter Diesel Xenon PDC Leder,"€ 4,900.-",314651,Used,XJ6,Sedans,Diesel (Particulate Filter),,214 g/km (comb),4 (Green),Euro 4,207,"2,720 cc",6,,2,11/2005,2005,8.1 l/100 km (comb),6.5 l/100 km (country),10.8 l/100 km (city),,Automatic,6,5,4,,,Green,Full leather,,,,,,,Rear,2051/AAF,"1,727 kg",,,H02220,https://www.autoscout24.com/offers/jaguar-xj6-xj-2-7-liter-diesel-xenon-pdc-leder-diesel-green-7e69a357-d19c-4a84-893b-35de7a07296c?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Twizy,Renault,Color Batteriemiete FLÜGELTÜREN,"€ 4,945.-",26985,Used,Twizy,Compact,,,0 g/km (comb),4 (Green),,11,,,,2,04/2012,2012,,,,,Automatic,,2,2,,Weiß,White,"Other, Grey",,09/2022,,,,,,3333/AZP,,,Germany,E_507786,https://www.autoscout24.com/offers/renault-twizy-color-batteriemiete-fluegeltueren-white-232053a1-534d-4bd0-bb0a-0a874eedfea3?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Meriva,Opel,Klima/Temp./EFH/MP3/CD/TÜV & ASU NEU,"€ 4,950.-",105673,Used,Meriva,Van,Super 95 / Super Plus 98 / Super E10 95 / Regular/Benzine 91,Super Plus 98,144 g/km (comb),,Euro 5,101,"1,398 cc",4,12 months,,09/2011,2011,6.1 l/100 km (comb),5.1 l/100 km (country),7.9 l/100 km (city),,Manual,5,,5,Metallic,Saphirschwarz Mineraleffekt,Black,"Cloth, Black",Yes,02/2021,,,,,,0035/ALU,"1,393 kg",,Germany,2020060 GW__1,https://www.autoscout24.com/offers/opel-meriva-klima-temp-efh-mp3-cd-tuev-asu-neu-gasoline-black-97b69527-ccb0-4bae-b237-0e5096059c84?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 308,Peugeot,"2.0 HDi Sport*Tempomat*Lichtsensor*16""Alu*","€ 4,950.-",134360,Used,308,Sedans,Diesel,,180 g/km (comb),4 (Green),Euro 4,136,"1,997 cc",,,2,08/2009,2009,6.8 l/100 km (comb),5.3 l/100 km (country),9.4 l/100 km (city),,Automatic,,5,4,Metallic,LACKIERUNG ALUMINIUM-GRAU,Grey,"Cloth, Black",,,,,,,,,,,Germany,1,https://www.autoscout24.com/offers/peugeot-308-2-0-hdi-sport-tempomat-lichtsensor-16-alu-diesel-grey-0900a341-64a6-4c52-ac48-9e58399fc8a5?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volvo S80,Volvo,D5 Kinetic Automatik Xenon Navi Klima PDC,"€ 4,950.-",310000,Used,S80,Sedans,Diesel (Particulate Filter),,194 g/km (comb),,Euro 4,185,"2,401 cc",5,,1,04/2008,2008,7.3 l/100 km (comb),5.9 l/100 km (country),10.2 l/100 km (city),,Automatic,6,5,4,Metallic,barents blue pearl,Blue,Cloth,,07/2022,,,,,Front,,,,Germany,0198,https://www.autoscout24.com/offers/volvo-s80-d5-kinetic-automatik-xenon-navi-klima-pdc-diesel-blue-81251b86-fe5f-48fa-ba0e-8ca129189285?cldtidx=1&cldtsrc=listPage&searchId=1964176808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/volkswagen-jetta-zeer-goed-verzorgde-wagen-met-garantie-diesel-black-0140cd61-0118-4cf2-b240-77a7b69bb350?cldtidx=1&cldtsrc=listPage&searchId=1964176808
MINI One Cabrio,MINI,Mini One Cabrio*PDC*Leder*Alu*SHZ*nur EXPORT!!!!,"€ 4,950.-",126420,Used,One Cabrio,Convertible,Super E10 95,,168 g/km (comb),4 (Green),Euro 4,90,"1,598 cc",,,,03/2006,2006,7 l/100 km (comb),5.4 l/100 km (country),9.8 l/100 km (city),,Manual,,4,2,Metallic,,Black,"Full leather, Black",,06/2021,,,,,,0005/803,,,Germany,7046,https://www.autoscout24.com/offers/mini-one-cabrio-mini-one-cabrio-pdc-leder-alu-shz-nur-export-gasoline-black-accb8212-3d04-47ed-befe-54318e7efe54?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Clio,Renault,Collection 5 Night&Day 1.2 16V 75 eco²,"€ 4,950.-",124082,Used,Clio,Sedans,Super 95,,135 g/km (comb),4 (Green),Euro 4,75,"1,149 cc",,,2,02/2011,2011,5.8 l/100 km (comb),4.9 l/100 km (country),7.6 l/100 km (city),,Manual,5,1,5,,ARKTIS-WEIß,White,"Other, Other",,02/2022,10/2019,,,,Front,3333/AAO,"1,165 kg",,,3348,https://www.autoscout24.com/offers/renault-clio-collection-5-night-day-1-2-16v-75-eco2-gasoline-white-3efd2020-804b-4078-b3c2-6ca05c8ac846?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz E 200,Mercedes-Benz,CDI BlueEfficiency*Tempomat*Navi*PDC*SHZ*,"€ 4,950.-",324000,Used,E 200,Sedans,Diesel,,153 g/km (comb),4 (Green),Euro 5,136,"2,143 cc",,,1,04/2011,2011,5.9 l/100 km (comb),5 l/100 km (country),7.4 l/100 km (city),,Automatic,,5,4,,,,"Full leather, Black",,,,,,,,,,,Germany,,https://www.autoscout24.com/offers/mercedes-benz-e-200-cdi-blueefficiency-tempomat-navi-pdc-shz-diesel-5aff2e6c-dfc2-4e82-80c8-bc27d66bfcb0?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Meriva,Opel,1.4 Color Edition KLIMA~AHK~MFL~GRA~NSW,"€ 4,970.-",108000,Used,Meriva,Station wagon,Super E10 95,,144 g/km (comb),4 (Green),Euro 5,101,"1,398 cc",4,12 months,,06/2011,2011,6 l/100 km (comb),5 l/100 km (country),7.6 l/100 km (city),,Manual,,5,5,,MAGMA RED BRILLANT,Red,"Cloth, Black",Yes,,,,,,,0035/ALU,"1,437 kg",,,308612,https://www.autoscout24.com/offers/opel-meriva-1-4-color-edition-klima-ahk-mfl-gra-nsw-gasoline-red-64d4b5e3-2f8c-4ec2-8f9f-09748105e6ba?cldtidx=1&cldtsrc=listPage&searchId=1964176808
